kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 1 11 0 0 0 0 0 0 0 
_1.ptx 98 : 1 3 0 0 0 0 0 0 0 
_1.ptx 102 : 15 330 128 0 0 15 15 0 0 
_1.ptx 103 : 15 105 0 0 0 0 0 0 0 
_1.ptx 104 : 15 165 0 0 0 0 0 0 0 
_1.ptx 105 : 15 3756 1792 0 0 15 15 0 0 
_1.ptx 106 : 15 90 0 0 0 0 0 0 0 
_1.ptx 107 : 15 120 0 0 0 0 0 0 0 
_1.ptx 108 : 15 0 0 0 0 0 0 0 0 
_1.ptx 110 : 15 45 0 0 0 0 0 0 0 
_1.ptx 111 : 15 150 0 0 0 0 0 0 0 
_1.ptx 112 : 15 165 0 0 0 0 0 0 0 
_1.ptx 113 : 15 330 128 0 0 15 15 0 0 
_1.ptx 114 : 15 150 0 0 0 0 0 0 0 
_1.ptx 115 : 15 150 0 0 0 0 0 0 0 
_1.ptx 116 : 15 165 0 0 0 0 0 0 0 
_1.ptx 117 : 15 75 480 0 0 15 15 0 0 
_1.ptx 119 : 15 90 0 0 0 0 0 0 0 
_1.ptx 120 : 15 45 0 0 0 0 0 0 0 
_1.ptx 121 : 15 165 0 0 0 0 0 0 0 
_1.ptx 122 : 15 90 448 0 0 15 15 0 0 
_1.ptx 123 : 15 60 0 0 0 15 15 0 0 
_1.ptx 124 : 15 60 0 0 0 15 15 0 0 
_1.ptx 125 : 15 165 0 0 0 0 0 0 0 
_1.ptx 128 : 15 150 0 0 0 0 0 0 0 
_1.ptx 129 : 15 150 0 0 0 0 0 0 0 
_1.ptx 130 : 15 120 0 0 0 0 0 0 0 
_1.ptx 131 : 15 84 0 0 0 0 0 0 0 
_1.ptx 135 : 32256 194208 0 0 0 0 0 0 0 
_1.ptx 151 : 32256 202592 0 0 0 0 0 0 0 
_1.ptx 152 : 32256 592512 0 0 0 0 0 0 0 
_1.ptx 153 : 32256 239808 0 0 0 0 0 0 0 
_1.ptx 154 : 32256 399168 0 0 0 0 0 0 0 
_1.ptx 155 : 32256 97312 0 0 0 0 0 0 0 
_1.ptx 156 : 32256 265824 0 0 0 0 0 0 0 
_1.ptx 157 : 32256 1536 0 0 0 0 0 0 0 
_1.ptx 158 : 32000 259360 0 0 0 0 0 0 0 
_1.ptx 159 : 32000 101120 0 0 0 0 0 0 0 
_1.ptx 160 : 32000 353024 0 0 0 0 0 0 0 
_1.ptx 161 : 32000 8664832 30208 0 0 1000 1000 0 0 
_1.ptx 162 : 32000 192736 0 0 0 0 0 0 0 
_1.ptx 163 : 32000 257952 0 0 0 0 0 0 0 
_1.ptx 164 : 32000 193798 0 0 0 0 0 0 15 
_1.ptx 67 : 32256 213248 0 0 0 0 0 0 0 
_1.ptx 68 : 32256 589504 0 0 0 0 0 0 0 
_1.ptx 166 : 15 90 0 0 0 0 0 0 0 
_1.ptx 69 : 32256 237856 0 0 0 0 0 0 0 
_1.ptx 167 : 15 45 0 0 0 0 0 0 0 
_1.ptx 70 : 32256 390016 0 0 0 0 0 0 0 
_1.ptx 168 : 15 165 0 0 0 0 0 0 0 
_1.ptx 71 : 32256 4586272 128 0 0 0 0 0 0 
_1.ptx 169 : 15 75 0 0 0 15 15 0 0 
_1.ptx 72 : 32256 270336 0 0 0 0 0 0 0 
_1.ptx 73 : 32256 1856 0 0 0 0 0 0 0 
_1.ptx 171 : 15 90 0 0 0 0 0 0 0 
_1.ptx 74 : 32000 251456 0 0 0 0 0 0 0 
_1.ptx 172 : 15 45 0 0 0 0 0 0 0 
_1.ptx 75 : 32000 106272 0 0 0 0 0 0 0 
_1.ptx 173 : 15 165 0 0 0 0 0 0 0 
_1.ptx 76 : 32000 357760 0 0 0 0 0 0 0 
_1.ptx 174 : 15 76 0 0 0 15 15 0 0 
_1.ptx 77 : 32000 8453888 32000 0 0 1000 1000 0 0 
_1.ptx 78 : 32000 200512 0 0 0 0 0 0 0 
_1.ptx 176 : 15 90 0 0 0 0 0 0 0 
_1.ptx 79 : 32000 257344 0 0 0 0 0 0 0 
_1.ptx 177 : 15 45 0 0 0 0 0 0 0 
_1.ptx 80 : 32000 193466 0 0 0 0 0 0 1 
_1.ptx 178 : 15 75 128 0 0 15 15 0 0 
_1.ptx 82 : 1 6 0 0 0 0 0 0 0 
_1.ptx 180 : 15 90 0 0 0 0 0 0 0 
_1.ptx 83 : 1 5 0 0 0 1 1 0 0 
_1.ptx 181 : 15 75 0 0 0 15 15 0 0 
_1.ptx 85 : 1 3 0 0 0 0 0 0 0 
_1.ptx 86 : 1 10 0 0 0 0 0 0 0 
_1.ptx 87 : 1 11 0 0 0 0 0 0 0 
_1.ptx 185 : 32256 194240 0 0 0 0 0 0 0 
_1.ptx 88 : 1 274 128 0 0 1 1 0 0 
_1.ptx 89 : 1 7 0 0 0 0 0 0 0 
_1.ptx 90 : 1 4 0 0 0 1 1 0 0 
_1.ptx 91 : 1 11 0 0 0 0 0 0 0 
_1.ptx 92 : 1 8 0 0 0 0 0 0 0 
_1.ptx 93 : 1 0 0 0 0 0 0 0 0 
_1.ptx 94 : 1 3 0 0 0 0 0 0 0 
_1.ptx 95 : 1 7 0 0 0 0 0 0 0 
_1.ptx 96 : 1 10 0 0 0 0 0 0 0 
